MainID,CrossStreetMainID,Street,from,to,District,StartTime,EndTime,Side,Miles,oneway,week1,week2,week3,week4,week5,EveryDay,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Yearround,start_lat,start_long,stop_lat,stop_long
1373,369,Dwight St,Shawmut Ave,Tremont St,1S,08:00:00.0000000,12:00:00.0000000,Even,0.1468,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,42.34384,-71.06764,42.34488,-71.07018
1374,311,Fisher Ave,Parker St,Parker Hill Ave,10M,12:00:00.0000000,16:00:00.0000000,Odd,0.5932,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,42.3271,-71.09966,42.3306,-71.10849
1375,503,Hoyt St,Dorchester Ave,Dead End,3,08:00:00.0000000,12:00:00.0000000,Even,0.0610,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,42.3081,-71.05833,42.30802,-71.05772
1376,1886,Hoyt St,Dorchester Ave,Dead End,3,08:00:00.0000000,12:00:00.0000000,Odd,0.0610,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,42.3081,-71.05833,42.30802,-71.05772
1377,488,Lindall St,Cummins Hwy,Murray Hill Rd,2,08:00:00.0000000,12:00:00.0000000,Even,0.1076,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,42.2855,-71.12665,42.28671,-71.12531
1378,473,Hubbardston Rd,Savin Hill Ave,Dead End,3,12:00:00.0000000,16:00:00.0000000,Even,0.0767,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,42.31081,-71.0525,42.31041,-71.0528999
1379,2211,Hosmer St,Blue Hill Ave,Norfolk St,7,12:00:00.0000000,16:00:00.0000000,Odd,0.2165,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,42.28165,-71.09222,42.27996,-71.08858
1380,1863,Hubbardston Rd,Savin Hill Ave,Dead End,3,12:00:00.0000000,16:00:00.0000000,Odd,0.0767,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,42.31081,-71.0525,42.31041,-71.0528999
1381,1465,Ledgebrook Rd,River St,Meadowbank Ave,7,12:00:00.0000000,16:00:00.0000000,Even,0.1083,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,42.27123,-71.08377,42.26971,-71.08324
1382,1853,Laurel St,Catawba St,Humboldt Ave,10R,12:00:00.0000000,16:00:00.0000000,Odd,0.0655,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,42.32031,-71.08498,42.31981,-71.08599
1383,84,Lindsey St,Waldeck St,Greenbrier St,3,12:00:00.0000000,16:00:00.0000000,Even,0.2345,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,42.29817,-71.06629,42.29705,-71.07057
1384,1494,Sherman St,Rockland St,Dale St,10R,12:00:00.0000000,16:00:00.0000000,Even,0.0873,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,42.3219,-71.08287,42.32064,-71.08279
1385,1472,Linvale Ter,Viking Ter,Gladeside Ave,7,12:00:00.0000000,16:00:00.0000000,Even,0.0640,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,42.27137,-71.08859,42.27127,-71.0873
1386,83,Lindsey St,Waldeck St,Greenbrier St,3,12:00:00.0000000,16:00:00.0000000,Odd,0.2345,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,42.29817,-71.06629,42.29705,-71.07057
1387,492,Lee Hill Rd,Washington St,Dead End,2,08:00:00.0000000,12:00:00.0000000,Even,0.0564,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,42.28848,-71.12598,42.28874,-71.1264
1388,2698,Hudson St,Beach St,Kneeland St,1T,00:00:00.0000000,07:00:00.0000000,,0.3581,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,42.3512,-71.05987,42.35029,-71.06024
