MainID,CrossStreetMainID,Street,from,to,District,StartTime,EndTime,Side,Miles,oneway,week1,week2,week3,week4,week5,EveryDay,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Yearround,start_lat,start_long,stop_lat,stop_long
44,1223,Arlington Ave,Alford St,Somerville Town Line,1C,00:00.0,00:00.0,Even,0.1898,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,42.38624,-71.07309,42.425,-71.18253
45,2625,Bedford St,Chauncy St,Summer St,1T,01:00.0,00:00.0,,0.1432,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,42.35361,-71.06025,42.77143,-71.07755
46,1852,Charlame St,Laurel St,Dead End,10R,00:00.0,00:00.0,Odd,0.1182,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42.3198,-71.0855,42.31929,-71.08423
47,2790,Belvidere St,Massachusetts Ave,Dalton St,1B,01:00.0,00:00.0,Odd,0.1525,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,42.34648,-71.08733,42.34606,-71.08464
48,863,Bennett St,Market St,Oakland St,4,00:00.0,00:00.0,Odd,0.4112,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42.35091,-71.1524,42.3519,-71.16017
49,2646,Charles St,Boylston St,Nashua St,M,01:00.0,00:00.0,Odd,1.0884,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,42.3525,-71.06749,42.3665499,-71.06778
50,1334,Calumet St,Tremont St,Parker Hill Ave,10M,00:00.0,00:00.0,Odd,0.5669,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42.33415,-71.10479,42.32819,-71.10008
51,2729,Atlantic Ave,State St,Milk St,1F,01:00.0,00:00.0,,0.0604,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,42.35966,-71.05181,42.35877,-71.05158
52,2795,Boylston St,Arlington St,Hereford St,1B,01:00.0,00:00.0,Odd,0.7949,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,42.35187,-71.07069,42.34792,-71.08524
53,812,Chelsea St,Porter St,Prescott St,9,00:00.0,00:00.0,Odd,0.4913,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,42.37283,-71.03542,42.37813,-71.0292
54,1115,Aspinwall Rd,Washington St,Talbot Ave,7,00:00.0,00:00.0,Odd,0.1837,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,42.29197,-71.07175,42.29113,-71.07513
55,720,Carson St,Crescent Ave,Sydney St,3,00:00.0,00:00.0,Even,0.1138,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42.31896,-71.05447,42.32049,-71.05373
56,1731,Blakeville St,Bowdoin St,Olney St,3,00:00.0,00:00.0,Odd,0.1235,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,42.30388,-71.07051,42.30552,-71.07137
57,2801,Cambria St,Boylston St,Dead End,1B,01:00.0,00:00.0,,0.1025,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,42.34732,-71.08761,42.34733,-71.0865
58,2444,A St,Melcher St,Congress St,5,00:00.0,00:00.0,Even,0.103,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,42.34911,-71.04948,42.35037,-71.04846
60,2020,Alaska St,Perrin St,Blue Hill Ave,10R,00:00.0,00:00.0,Odd,0.1119,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42.32148,-71.07958,42.32059,-71.07775
61,2584,Blue Hill Ave,Dudley St,Blue Hill Ave,10R,01:00.0,00:00.0,,1.1797,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,42.32528,-71.07497,42.27875,-71.09319
62,947,Adams St,Winthrop St,Lowney Way,1C,00:00.0,00:00.0,Odd,0.1222,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,42.3748,-71.06024,42.37437,-71.05806
63,2948,Charlesgate East,Dead End,Back St,99,00:00.0,00:00.0,,0.0203,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,42.34949,-71.09159,42.35088,-71.09155
64,56,Calumet St,Tremont St,Parker Hill Ave,10M,00:00.0,00:00.0,Even,0.5669,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42.33415,-71.10479,42.32819,-71.10008
65,1468,Arborcrest Ter,Gladeside Ave,Ridgeview Ave,7,00:00.0,00:00.0,Even,0.0922,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,42.27282,-71.08704,42.27212,-71.08555
66,1285,Castle Rock St,Grampian Way,Caspian Way,3,00:00.0,00:00.0,Even,0.0741,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42.31086,-71.05162,42.31018,-71.05049
67,1710,Armstrong St,Chestnut Ave,Mozart St,2,00:00.0,00:00.0,Odd,0.1049,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42.32122,-71.10268,42.32121,-71.10467
68,271,Chaucer St,Curtis St,Moore St,9,00:00.0,00:00.0,Odd,0.1127,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,42.38311,-71.02121,42.38378,-71.01919
69,80,Bloomfield St,Geneva Ave,Greenbrier St,3,00:00.0,00:00.0,Even,0.3032,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42.29991,-71.06557,42.29827,-71.07108
70,1446,Carlos St,Woodrow Ave,Callender St,7,00:00.0,00:00.0,Even,0.0653,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,42.28692,-71.08512,42.28781,-71.08549
71,1122,Adams St,Dorchester Ave,Park St,7,00:00.0,00:00.0,Odd,0.1739,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,42.27219,-71.06803,42.29931,-71.05816
72,2042,Brighton St,Dead End,Caldwell St,1C,00:00.0,00:00.0,Odd,0.0377,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,42.38394,-71.07768,42.38551,-71.07755
73,365,Berkeley St,Tremont St,Boylston St,M,00:00.0,00:00.0,Odd,0.4498,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42.34526,-71.06982,42.35125,-71.07307
74,2324,Berkeley St,Tremont St,Columbus Ave,1B,00:00.0,00:00.0,Even,0.2595,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,42.34526,-71.06982,42.34863,-71.07176
75,1695,Chilcott Pl,Washington St,Dead End,2,00:00.0,00:00.0,Odd,0.0953,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,42.31354,-71.1005,42.3132499,-71.09968
76,1872,Caspian Way,Castle Rock St,Dead End,3,00:00.0,00:00.0,Odd,0.0595,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,42.31018,-71.05049,42.31029,-71.05042
77,99,Adams St,Bowdoin St,Leedsville St,3,00:00.0,00:00.0,Odd,0.3045,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,42.30825,-71.06389,42.30456,-71.06115
78,2548,Ashmont St,Dorchester Ave,Adams St,7,00:00.0,00:00.0,Even,0.4924,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42.28576,-71.06433,42.28823,-71.05537
79,2158,Alpha Rd,Waldeck St,Park St,7,00:00.0,00:00.0,Odd,0.183,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,42.29624,-71.06716,42.29598,-71.07023
80,2638,Cambridge St,Tremont St,Charles St,1F,01:00.0,00:00.0,Odd Side Median,0.6089,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,42.37325,-71.09711,42.3612899,-71.07253
81,466,Circuit St,Walnut Ave,Washington St,10R,00:00.0,00:00.0,Odd,0.3496,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42.32398,-71.08345,42.32569,-71.0879
82,713,Brook Marshall Rd,Raynor Cir,Sojourner Truth Ct,10R,00:00.0,00:00.0,Odd,0.0938,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,42.33431,-71.08614,42.33456,-71.08477
83,53,Cherokee St,Hillside St,Pontiac St,10M,00:00.0,00:00.0,Even,0.1241,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42.32987,-71.10048,42.331,-71.10172
84,1944,Brainerd Rd,Gorham St,Kelton St,4,00:00.0,00:00.0,Odd,0.2216,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,42.34813,-71.13219,42.34625,-71.13559
85,2273,Boylston St,Centre St,Lamartine St,2,00:00.0,00:00.0,Odd,0.3947,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42.31956,-71.11163,42.31704,-71.10486
86,1533,Carter St,Cambridge St,Roland St,1C,00:00.0,00:00.0,Odd,0.0403,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,42.38233,-71.07919,42.38172,-71.07911
87,440,Bradeen St,Washington St,Dead End,2,00:00.0,00:00.0,Even,0.1848,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,42.2912,-71.12304,42.29047,-71.12087
88,2410,Belmont St,Bunker Hill St,Medford St,1C,00:00.0,00:00.0,Even,0.1218,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,42.38056,-71.06588,42.38211,-71.06471
89,744,Aspen St,Montrose St,Copeland St,10R,00:00.0,00:00.0,Odd,0.0688,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42.32389,-71.08029,42.32311,-71.07951
90,2275,Chappie St,Bunker Hill St,Medford St,1C,00:00.0,00:00.0,Odd,0.1059,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,42.38227,-71.06931,42.38361,-71.06826
91,2643,Causeway St,Merrimac St,North Washington St,1W,01:00.0,00:00.0,,0.3284,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,42.3641,-71.06336,42.36695,-71.05854
92,122,Chiswick Rd,Chestnut Hill Ave,Dead End,4,00:00.0,00:00.0,Odd,0.1438,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,42.3412,-71.15477,42.3403,-71.1510799
93,2647,Charles Street South,Tremont St,Boylston St,1B,01:00.0,00:00.0,Even,0.2659,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,42.3507,-71.06678,52.9710899,-0.01444
94,489,Bexley Rd,Washington St,Florence St,2,00:00.0,00:00.0,Even,0.1581,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,42.28816,-71.12632,42.28672,-71.12391
95,2479,Clarendon St,Commonwealth Ave,Beacon St,1B,00:00.0,00:00.0,Even,0.1432,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,42.3523,-71.07601,42.35424,-71.07693
96,2545,Bruce St,Ashmont St,Wrentham St,7,00:00.0,00:00.0,Odd,0.1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42.28715,-71.05896,42.28824,-71.06012
97,1467,Briarcliff Ter,Gladeside Ave,Ridgeview Ave,7,00:00.0,00:00.0,Even,0.0934,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,42.27105,-71.08734,42.27149,-71.08565
98,558,Brainerd Rd,Harvard Ave,Harvard Ave,4,00:00.0,00:00.0,Odd,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,42.3492,-71.13001,42.3492,-71.13001
99,601,Ardee St,Everett St,Maverick St,9,00:00.0,00:00.0,Odd,0.0472,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,42.36572,-71.03072,42.36632,-71.03027
100,1907,Cameron St,Hancock St,Dead End,3,00:00.0,00:00.0,Odd,0.1047,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,42.31122,-71.06268,42.31071,-71.06346
