MainID,CrossStreetMainID,Street,from,to,District,StartTime,EndTime,Side,Miles,oneway,week1,week2,week3,week4,week5,EveryDay,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Yearround
1,1222,Ackley Pl,Washington St,Dead End,2,00:00.0,00:00.0,Even,0.0455,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,545,Arcadia Park,Draper St,Ditson St,3,00:00.0,00:00.0,Even,0.0835,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
3,1677,Ashcroft St,Perkins St,Moraine St,2,00:00.0,00:00.0,Odd,0.1015,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4,2635,Boylston St,Tremont St,Charles St,1B,01:00.0,00:00.0,,0.1519,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5,674,Chestnut St,Walnut St,Charles St,1H,00:00.0,00:00.0,Even,0.2008,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
6,44,Blackwood St,St Botolph St,Dead End,1B,00:00.0,00:00.0,Even,0.0517,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
7,307,Bucknam St,Lawn St,Fisher Ave,10M,00:00.0,00:00.0,Odd,0.0803,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,2344,Acadia St,East First St,East Second St,5,00:00.0,00:00.0,Even,0.0568,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
9,1012,Acadia St,East First St,East Second St,5,00:00.0,00:00.0,Odd,0.0568,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
10,1069,Allston St,Centre St,Melville Ave,7,00:00.0,00:00.0,Odd,0.1955,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
12,1779,Abbotsford St,Walnut Ave,Harold St,10R,00:00.0,00:00.0,Odd,0.121,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
13,2313,Brooks St,Bremen St,Princeton St,9,00:00.0,00:00.0,Even,0.2513,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
15,40,Bullard St,Bowdoin St,Bowdoin Ave,3,00:00.0,00:00.0,Odd,0.1991,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
16,1075,Centre St,Talbot Ave,Dorchester Ave,7,00:00.0,00:00.0,Even,0.5405,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
17,2122,Appleton St,Tremont St,West Canton St,1S,00:00.0,00:00.0,Odd,0.3938,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
18,1696,Boylston St,Lamartine St,Washington St,2,00:00.0,00:00.0,Odd,0.3515,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19,1210,Ames St,Westview St,Dead End,7,00:00.0,00:00.0,Odd,0.3042,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
20,2503,Caryll St,Morton St,Maryknoll St,7,00:00.0,00:00.0,Odd,0.1705,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
22,2081,Braemore Rd,Commonwealth Ave,Chiswick Rd,4,00:00.0,00:00.0,Odd,0.0943,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
23,2649,Chatham St,Merchants Row,Commercial St,1F,01:00.0,00:00.0,,0.1047,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
24,2381,Bismarck St,Boylston St,Porter St,2,00:00.0,00:00.0,Even,0.0379,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
25,353,Chestnut Ave,Centre St,Mozart St,2,00:00.0,00:00.0,Even,0.235,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26,2645,Central St,India St,Dead End,1F,01:00.0,00:00.0,,0.0795,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
27,1844,Bradeen St,Washington St,Dead End,2,00:00.0,00:00.0,Odd,0.1848,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
28,1505,Amory St,Dimock St,School St,10R,00:00.0,00:00.0,Even,0.193,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
29,122,Chiswick Rd,Chestnut Hill Ave,Dead End,4,00:00.0,00:00.0,Even,0.1438,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
30,280,Bunker Hill St,Moulton St,Medford St,1C,00:00.0,00:00.0,Even,0.9085,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
59,970,Chelsea St,Maverick St,Porter St,9,00:00.0,00:00.0,Even,0.2506,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
31,1469,Bluefield Ter,Gladeside Ave,Ridgeview Ave,7,00:00.0,00:00.0,Even,0.1117,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
32,1299,Ceylon St,Quincy St,Columbia Rd,3,00:00.0,00:00.0,Even,0.1769,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
33,2413,Chestnut St,Charles St,David G Mugar Way,1H,00:00.0,00:00.0,Even,0.1627,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
34,882,Bennett St,Market St,South Hobbart St,4,00:00.0,00:00.0,Odd,0.3021,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35,1740,Brunswick St,Blue Hill Ave,Normandy St,3,00:00.0,00:00.0,Odd,0.1273,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
36,1434,Bremen St,Sumner St,Porter St,9,00:00.0,00:00.0,Even,0.347,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
37,546,Charles St,Dorchester Ave,Geneva Ave,3,00:00.0,00:00.0,Even,0.2737,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
38,1919,Charles St,Dorchester Ave,Geneva Ave,3,00:00.0,00:00.0,Odd,0.2737,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
39,251,Abbotsford St,Walnut Ave,Harold St,10R,00:00.0,00:00.0,Even,0.121,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
